Date,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Home furnishings stores,Floor covering stores,All other home furnishings stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Drinking places,Restaurants and other eating places,Full service restaurants,Limited service eating places,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Electronics and appliance stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Food and beverage stores,Grocery stores,"Beer, wine and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Department stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous stores retailers,Nonstore retailers,Electronic shopping and mail order houses,Fuel dealers,Food services and drinking places
Jan. 2012,"355,184","292,916","313,778","251,510","315,540","253,272","83,395","62,268","55,945","52,985","47,096","5,889","6,323","14,698","6,866","3,897","2,969","1,108","1,780","7,832","1,170","6,662","17,980","15,941",584,"1,419","49,834","45,462","43,576","2,995","22,743","19,401","41,406","14,358","10,686",525,"2,544","5,211","1,039","1,851","1,674","6,049","2,505","1,072","1,716","45,643","11,430","3,768","7,662","34,213","30,180","4,033","7,969","2,647","1,657",990,"1,108","32,592","24,739","4,549","39,644","1,566","34,564","17,566","16,998","395,720","324,000","349,968","278,248","352,862","281,142","98,386","71,720","64,527","7,193","16,168","7,646","8,522","23,657","20,281","51,540","46,248","3,635","22,973","19,362","45,752","19,588","14,455",681,"3,509","2,536","2,412","6,575","53,149","15,021","38,128","33,275","4,853","9,307","32,433","25,932","2,789","42,858"
Feb. 2012,"372,401","302,072","330,183","259,854","331,470","261,141","91,209","70,329","63,622","60,339","52,611","7,728","6,707","15,425","7,169","4,325","2,844","1,108","1,664","8,256","1,265","6,991","18,500","16,385",621,"1,359","48,850","44,174","42,275","3,202","22,608","19,056","42,218","17,931","12,618",545,"3,036","6,538","1,074","2,545","2,607","5,520","2,723","1,192",821,"49,639","13,169","4,551","8,618",36470,"31,989","4,481","8,609","2,694","1,503","1,191","1,229","31,841","24,201","4,053","40,931","1,633","35,522","18,018","17,504","400,329","327,740","353,158","280,569","357,379","284,790","99,959","72,589","65,522","7,067","16,165","7,627","8,538","23,588","20,329","51,658","46,353","3,651","22,999","19,386","47,171","20,269","14,843",661,"3,538","2,668","2,571","6,667","53,944","15,239","38,705","33,887","4,818","9,411","32,918","26,420","2,742","42,950"
Mar. 2012,"414,149","332,992","365,752","284,595","368,502","287,345","98,747","81,157","73,814","68,793","61,036","7,757","7,343","16,291","7,784","4,440","3,344","1,274","1,980","8,507","1,325","7,182","24,156","20,492",754,"1,705","52,549","47,408","45,239","3,550","23,840","19,943","48,397","20,162","15,205",623,"3,840","7,878","1,229","2,719","2,056","6,536","3,607","1,270",756,"53,115","14,448","4,966","9,482",38667,"33,676","4,991","8,963","2,643","1,482","1,161","1,286","33,336","25,943","3,303","45,647","1,945","39,577","20,112","19,465","401,661","329,010","354,120","281,469","358,719","286,068","99,668","72,651","65,671","6,980","16,294","7,587","8,707","24,587","20,974","52,105","46,753","3,683","22,945","19,343","47,541","20,058","14,844",659,"3,602","2,602","2,427","6,815","53,658","15,182","38,476","33,475","5,001","9,186","32,879","26,365","2,630","42,942"
Apr. 2012,"392,949","319,458","345,285","271,794","349,194","275,703","91,719","73,491","66,592","61,753","54,942","6,811","6,899","14,113","6,872","3,799","3,073","1,243","1,743","7,241","1,202","6,039","25,989","21,124",755,"1,917","50,842","45,754","43,700","3,409","22,607","19,050","47,664","18,601","14,003",711,"3,592","7,118","1,136","2,480","1,953","5,967","3,304","1,156",742,"50,602","13,579","4,906","8,673","37,023","32,346","4,677","8,584","2,436","1,268","1,168","1,160","30,734","24,432","2,592","43,755","1,758","37,641","18,983","18,658","400,214","327,270","353,208","280,264","356,849","283,905","98,541","72,944","65,933","7,011","16,071","7,502","8,569","23,423","20,023","52,296","46,927","3,693","23,045","19,379","47,006","19,533","14,485",682,"3,451","2,538","2,322","6,843","53,285","14,849","38,436","33,589","4,847","9,196","33,207","26,528","2,962","43,365"
May-12,"418,608","338,812","369,410","289,614","373,129","293,333","97,833","79,796","72,489","67,056","60,389","6,667","7,307","15,638","7,683","4,193","3,490","1,398","2,000","7,955","1,400","6,555","29,379","24,075",851,"2,208","53,955","48,420","46,239","3,786","23,364","19,701","49,198","19,952","14,593",725,"3,693","7,499","1,155","2,495","2,673","6,361","3,455","1,186",887,"53,095","14,111","5,028","9,083","38,984","33,976","5,008","9,725","2,787","1,364","1,423","1,214","32,666","26,383","2,300","45,479","1,808","39,103","19,572","19,531","399,331","325,692","353,523","279,884","356,018","282,379","98,894","73,639","66,687","6,952","16,375","7,652","8,723","22,721","19,637","52,239","46,828","3,723","22,883","19,258","45,808","19,657","14,472",687,"3,445","2,528","2,470","6,862","53,154","14,675","38,479","33,673","4,806","8,890","33,790","26,921","3,164","43,313"
Jun. 2012,"400,975","325,021","354,492","278,538","356,083","280,129","95,541","75,954","68,658","63,327","56,669","6,658","7,296","15,387","7,378","4,075","3,303","1,313","1,901","8,009","1,413","6,596","25,774","22,024",868,"1,934","52,702","47,217","45,077","3,816","22,022","18,426","46,483","18,717","14,035",703,"3,374","7,235","1,205","2,339","2,146","6,600","3,829","1,130",839,"52,280","13,909","4,807","9,102","38,371","33,616","4,755","9,438","2,557","1,254","1,303","1,164","30,726","25,035","1,998","44,892","1,870","38,903","19,354","19,549","395,585","323,199","351,939","279,553","352,043","279,657","98,796","72,386","65,451","6,935","16,202","7,544","8,658","22,516","19,664","52,205","46,842","3,694","22,449","18,860","43,646","19,878","14,694",704,"3,486","2,540","2,444","6,804","53,132","14,766","38,366","33,582","4,784","9,080","33,745","27,065","3,122","43,542"
Jul. 2012,"396,026","320,787","349,368","274,129","351,520","276,281","93,547","75,239","68,005","63,359","56,948","6,411","7,234","15,741","7,551","4,145","3,406","1,287","2,007","8,190","1,374","6,816","23,921","21,113",869,"1,730","52,868","47,473","45,349","3,733","22,155","18,559","46,658","18,266","13,717",613,"3,094","7,434","1,049","2,425","1,943","6,213","3,551","1,123",785,"50,734","13,145","4,489","8,656","37,589","32,994","4,595","9,146","2,593","1,302","1,291","1,180","30,579","25,015","2,057","44,506","1,889","38,988","19,330","19,658","397,567","324,442","354,083","280,958","353,891","280,766","98,931","73,125","66,088","7,037","16,409","7,650","8,759","22,700","19,604","52,231","46,910","3,635","22,793","19,015","43,484","19,724","14,555",690,"3,449","2,550","2,429","6,775","53,280","14,807","38,473","33,667","4,806","9,182","34,188","27,369","3,244","43,676"
Aug. 2012,"417,922","337,194","367,727","286,999","372,986","292,258","101,703","80,728","73,174","68,421","61,184","7,237","7,554","16,538","8,064","4,370","3,694","1,505","2,088","8,474","1,410","7,064","24,169","21,511",925,"1,699","53,442","48,047","45,861","3,752","22,968","19,168","50,195","20,750","15,157",619,"3,284","8,306","1,124","3,299","2,115","7,682","3,969","1,126","1,836","53,680","14,710","4,886","9,824","38,970","34,261","4,709","9,597","3,053","1,816","1,237","1,276","33,237","27,379","2,259","44,936","1,907","39,105","19,313","19,792","402,162","328,242","355,771","281,851","358,450","284,530","99,133","73,920","67,009","6,911","16,240","7,593","8,647","23,071","19,899","52,359","47,059","3,622","22,741","19,035","46,391","19,931","14,713",681,"3,365","2,592","2,437","6,750","53,554","14,744","38,810","33,955","4,855","9,086","34,407","27,712","3,264","43,712"
Sep. 2012,"385,609","314,291","338,408","267,090","342,582","271,264","91,915","71,318","64,468","60,834","54,451","6,383","6,850","15,265","7,439","4,128","3,311","1,287","1,933","7,826","1,305","6,521","22,324","19,607",825,"1,551","51,123","46,047","44,017","3,503","21,365","17,847","47,201","18,391","13,714",687,"3,339","7,018","1,045","2,431","2,044","6,290","3,161","1,158","1,097","49,325","13,123","4,677","8,446","36,202","31,725","4,477","8,885","2,644","1,462","1,182","1,225","31,095","25,451","2,358","43,027","1,790","36,535","18,164","18,371","405,555","330,360","358,448","283,253","361,470","286,275","99,214","75,195","68,148","7,047","16,242","7,614","8,628","23,652","20,213","52,544","47,179","3,668","22,608","18,946","47,107","20,119","14,741",718,"3,493","2,625","2,527","6,706","53,450","14,706","38,744","33,894","4,850","9,107","34,740","27,937","3,369","44,085"
Oct. 2012,"399,400","327,099","350,417","278,116","355,823","283,522","93,919","72,301","64,855","61,304","54,854","6,450","7,446","14,917","7,260","3,792","3,468","1,371","1,993","7,657","1,299","6,358","24,658","21,465",814,"1,752","52,236","46,975","44,943","3,626","22,842","19,468","48,983","18,845","14,247",710,"3,482","7,352","1,158","2,328","2,060","5,845","2,959","1,275",717,"51,395","13,482","4,662","8,820","37,913","33,048","4,865","9,595","2,917","1,375","1,542","1,300","34,206","27,483","3,023","43,577","1,720","37,241","18,277","18,964","405,699","330,886","357,723","282,910","361,991","287,178","98,771","74,813","67,769","7,044","15,730","7,416","8,314","23,831","20,423","52,856","47,449","3,704","22,527","18,956","47,976","19,939","14,700",697,"3,507","2,572","2,435","6,749","53,674","14,549","39,125","34,176","4,949","9,157","34,739","27,958","3,240","43,708"
Nov. 2012,"411,065","341,371","366,631","296,937","368,593","298,899","109,571","69,694","62,875","59,785","53,618","6,167","6,819","18,661","8,260","4,236","4,024","1,331","2,589","10,401","1,639","8,762","23,510","20,399",696,"1,742","52,904","47,310","45,440","3,869","22,321","18,700","44,434","22,016","16,562",731,"3,823","8,995","1,252","2,673","2,542","7,109","3,478","1,945",755,"59,008","17,610","6,516","11,094","41,398","36,037","5,361","9,078","2,777","1,352","1,425","1,262","39,858","32,753","3,567","42,472","1,702","36,533","18,199","18,334","407,396","331,558","360,574","284,736","362,876","287,038","99,175","75,838","68,866","6,972","16,273","7,620","8,653","24,146","20,689","52,670","47,263","3,724","22,661","18,927","46,822","19,972","14,633",683,"3,472","2,633","2,475","6,700","53,464","14,415","39,049","34,126","4,923","9,088","35,242","28,530","3,216","44,520"
Dec. 2012,"462,102","387,883","419,520","345,301","416,807","342,588","142,744","74,219","67,862","64,822","58,752","6,070","6,357","22,750","9,216","4,352","4,864","1,258","3,517","13,534","1,613","11,921","21,173","18,040",572,"1,731","56,900","49,358","47,464","5,124","25,165","20,632","42,582","31,504","21,594","1,080","4,693","12,047","1,475","3,454","6,049","10,987","5,601","2,987","1,318","73,797","24,597","9,705","14,892","49,200","42,461","6,739","10,429","3,706","1,566","2,140","1,324","47,301","39,841","3,876","45,295","1,833","39,456","20,322","19,134","409,026","332,159","363,140","286,273","364,488","287,621","100,267","76,867","69,889","6,978","16,772","7,972","8,800","24,126","20,641","52,689","47,142","3,850","22,898","19,086","45,886","20,162","14,684",712,"3,418","2,585","2,661","6,820","53,676","14,438","39,238","34,133","5,105","9,326","35,266","28,642","2,910","44,538"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
