Kind of Business,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Home furnishings stores,Floor covering stores,All other home furnishings stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Drinking places,Restaurants and other eating places,Full service restaurants,Limited service eating places,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Electronics and appliance stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Food and beverage stores,Grocery stores,"Beer, wine and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Department stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous stores retailers,Nonstore retailers,Electronic shopping and mail order houses,Fuel dealers,Food services and drinking places
Jan. 2018,"444,286","356,043","405,332","317,089","389,808","301,565","90,650","88,243","81,003","76,900","67,879","9,021","7,240","16,168","8,878","4,719","4,159",N/A,"2,299","7,290","1,227","6,063","23,535","21,084",803,"1,933","60,393","54,910","52,638","3,792","27,699","23,606","38,954","15,780","11,643",594,"2,314","6,322","1,220","2,076","1,849","5,964","2,816","1,187","1,219","50,594","9,120","2,638","6,482","41,474","35,948","5,526","9,472","2,144","1,067","1,077","1,313","53,006","43,140","5,831","54,478","2,033","47,791","24,145","23,646","491,492","391,213","448,732","348,453","432,148","331,869","107,591","100,279","92,469","7,810","17,722","9,875","7,847","29,261","25,775","61,935","55,465","4,520","27,671","23,053","42,760","21,848","15,928",756,"3,223","3,004","2,660","6,879","58,607","12,158","46,449","40,031","6,418","10,855","54,331","46,387","3,591","59,344"
Feb. 2018,"435,373","345,645","398,494","308,766","380,671","290,943","92,611","89,728","82,701","77,775","67,635","10,140","7,027","15,673","8,701","4,798","3,903",N/A,"2,057","6,972","1,221","5,751","23,507","20,764",821,"1,826","56,483","50,967","48,708","3,792","25,667","21,410","36,879","18,424","12,926",626,"2,635","7,061","1,251","2,696","2,569","5,673","3,076","1,230",646,"50,770","9,663","3,041","6,622",41107,"35,461","5,646","9,235","2,071",887,"1,184","1,366","48,632","40,701","3,807","54,702","2,009","47,531","24,068","23,463","493,759","393,942","450,575","350,758","434,106","334,289","108,619","99,817","91,992","7,825","17,851","9,910","7,941","30,076","26,384","62,026","55,520","4,520","27,510","22,704","43,184","22,365","16,343",774,"3,273","3,071","2,687","7,163","58,670","12,155","46,515","40,114","6,401","10,807","54,637","47,272","2,757","59,653"
Mar. 2018,"508,383","398,623","466,197","356,437","444,994","335,234","108,401","109,760","101,441","94,586","83,075","11,511","8,319","17,766","10,185","5,669","4,516",N/A,"2,351","7,581","1,415","6,166","29,753","25,690",994,"2,317","63,791","57,356","54,758","4,436","28,477","23,426","42,186","22,207","16,382",774,"3,429","9,081","1,471","3,275","2,293","7,049","3,853","1,720",665,"59,068","11,481","3,643","7,838",47587,"41,098","6,489","10,348","2,311",950,"1,361","1,544","54,589","46,222","3,582","63,389",N/A,"55,287","27,766","27,521","493,373","393,244","450,761","350,632","433,232","333,103","107,377","100,129","92,303","7,826","17,817","9,937","7,880","29,792","26,161","62,166","55,631","4,564","27,674","22,922","42,612","21,697","15,770",764,"3,205","2,950","2,710","7,237","58,081","11,500","46,581","40,213","6,368","10,711","55,316","47,799","2,775","60,141"
Apr. 2018,"480,373","380,907","437,800","338,334","420,245","320,779","98,990","99,466","91,695","84,366","74,595","9,771","7,771","16,200","9,365","5,011","4,354",N/A,"2,183","6,835","1,315","5,520","32,034","27,423","1,016","2,362","59,571","53,647","50,995","4,143","27,155","22,611","42,573","20,463","14,945",830,"3,325","8,070","1,268","2,920","2,348","6,329","3,597","1,358",638,"53,805","10,567","3,551","7,016","43,238","37,228","6,010","10,121","2,193",859,"1,334","1,437","52,528","45,015","2,818","60,128",N/A,"52,178","25,987","26,191","495,025","394,562","452,622","352,159","435,610","335,147","108,236","100,463","92,621","7,842","18,107","10,113","7,994","29,807","26,343","62,516","55,999","4,573","27,937","23,096","42,403","22,045","15,959",794,"3,295","3,083","2,730","7,127","58,423","12,224","46,199","39,859","6,340","10,651","56,131","48,196","3,188","59,415"
May 2018,"527,991","418,752","480,549","371,310","464,050","354,811","110,609","109,239","100,854","92,690","82,342","10,348","8,385","17,511","10,114","5,377","4,737",N/A,"2,395","7,397","1,498","5,899","37,940","32,365","1,152","2,726","64,527","57,855","55,109","4,702","28,960","24,157","47,442","23,560","17,132",867,"3,692","9,546","1,436","3,158","2,973","6,788","3,859","1,438",707,"60,281","12,014","3,860","8,154","48,267","41,417","6,850","12,184","2,469",864,"1,605","1,495","55,618","48,188","2,211","63,941",N/A,"55,905","27,820","28,085","500,719","399,841","457,194","356,316","439,996","339,118","110,084","100,878","92,953","7,925","17,919","9,974","7,945","30,546","26,993","62,516","55,953","4,601","28,309","23,476","43,525","22,855","16,660",777,"3,397","3,180","2,748","7,138","59,682","12,389","47,293","40,725","6,568","10,810","55,818","48,140","2,972","60,723"
Jun. 2018,"507,106","402,227","460,356","355,477","443,577","338,698","106,035","104,879","96,675","88,505","78,485","10,020","8,204","17,425","9,921","5,409","4,512",N/A,"2,209","7,504","1,479","6,025","34,966","30,594","1,174","2,509","62,765","56,107","53,351","4,740","27,655","22,659","46,750","21,294","15,676",780,"3,194","8,767","1,558","2,893","2,469","6,822","4,151","1,259",647,"58,091","11,166","3,421","7,745","46,925","40,547","6,378","11,197","2,403",801,"1,602","1,415","51,733","45,294","1,813","63,529",N/A,"56,132","27,818","28,314","499,631","399,038","455,858","355,265","438,191","337,598","108,423","100,593","92,689","7,904","17,962","9,971","7,991","30,974","27,340","62,350","55,828","4,575","28,076","23,192","43,773","22,343","16,161",777,"3,283","3,131","2,780","6,919","58,687","11,873","46,814","40,385","6,429","10,763","55,751","48,339","2,934","61,440"
Jul. 2018,"505,209","401,379","458,120","354,290","441,767","337,937","105,372","103,830","95,619","88,463","78,428","10,035","8,211","17,294","9,916","5,287","4,629",N/A,"2,354","7,378","1,460","5,918","33,133","29,673","1,150","2,350","63,399","56,720","53,962","4,761","27,467","22,881","47,089","21,733","15,944",676,"3,109","9,142","1,606","3,255","2,286","6,366","3,928","1,046",620,"57,383","10,979","3,273","7,706","46,404","40,132","6,272","10,531","2,596",923,"1,673","1,336","53,542","47,154","1,886","63,442",N/A,"56,429","27,696","28,733","502,962","401,779","458,788","357,605","440,703","339,520","108,795","101,183","93,196","7,987","17,922","10,006","7,916","30,991","27,298","62,713","56,158","4,600","28,258","23,516","44,174","22,698","16,452",769,"3,314","3,262","2,715","6,673","58,966","11,942","47,024","40,578","6,446","10,411","56,714","49,119","3,052","62,259"
Aug. 2018,"520,544","412,163","472,671","364,290","456,030","347,649","111,811","108,381","99,859","92,692","82,340","10,352","8,522","18,260","10,399","5,534","4,865",N/A,"2,531","7,861","1,514","6,347","32,075","28,644","1,197","2,364","63,628","57,015","54,230","4,697","28,904","23,994","47,873","23,121","16,608",721,"3,270","9,501","1,610","3,898","2,371","7,361","4,145","1,100","1,247","60,099","12,083","3,423","8,660","48,016","41,593","6,423","11,168","2,970","1,355","1,615","1,491","55,160","48,469","2,043","64,514",N/A,"56,674","27,881","28,793","501,913","402,204","457,297","357,588","439,278","339,569","108,286","99,709","91,782","7,927","17,825","9,885","7,940","30,601","26,720","62,510","56,007","4,556","28,533","23,756","44,616","22,101","16,147",766,"3,330","3,012","2,679","6,608","59,202","11,864","47,338","40,817","6,521","10,625","56,948","49,458","3,004","62,635"
Sep. 2018,"477,137","381,171","432,695","336,729","417,172","321,206","100,372","95,966","88,197","82,407","73,197","9,210","7,769","17,039","9,759","5,382","4,377",N/A,"2,263","7,280","1,340","5,940","29,354","26,048","1,042","2,172","61,186","54,910","52,296","4,416","26,846","22,167","44,442","19,782","14,709",738,"3,071","8,244","1,315","2,736","2,110","6,100","3,198","1,182",886,"54,945","10,371","3,191","7,180","44,574","38,362","6,212","10,198","2,506",944,"1,562","1,376","51,314","44,922","2,050","59,965",N/A,"51,577","25,229","26,348","500,362","400,948","456,273","356,859","438,985","339,571","107,777","99,414","91,396","8,018","17,596","9,818","7,778","30,735","26,771","62,813","56,203","4,629","28,319","23,607","44,089","22,112","16,151",762,"3,345","3,085","2,615","6,503","58,992","11,674","47,318","40,724","6,594","10,659","57,753","50,248","3,001","61,377"
Oct. 2018,"503,602","404,569","456,531","357,498","441,878","342,845","105,419","99,033","90,587","85,177","75,794","9,383","8,446","17,301","9,966","5,175","4,791",N/A,"2,449","7,335","1,406","5,929","32,490","28,547","1,143","2,385","62,554","56,019","53,358","4,555","29,355","24,713","47,071","21,203","15,833",765,"3,406","8,989","1,297","2,841","2,300","6,039","3,266","1,282",654,"57,771","10,995","3,324","7,671","46,776","40,187","6,589","11,441","3,105",864,"2,241","1,565","57,620","49,855","2,962","61,724",N/A,"53,058","25,858","27,200","506,010","406,131","460,132","360,253","444,038","344,159","108,637","99,879","91,873","8,006","17,677","9,907","7,770","31,505","27,214","63,056","56,414","4,638","28,555","23,740","45,878","22,506","16,339",768,"3,423","3,217","2,690","6,501","59,355","11,782","47,573","40,924","6,649","10,907","58,219","50,461","3,175","61,972"
