Kind of Business,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Home furnishings stores,Floor covering stores,All other home furnishings stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Drinking places,Restaurants and other eating places,Full service restaurants,Limited service eating places,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Electronics and appliance stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Food and beverage stores,Grocery stores,"Beer, wine and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Department stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous stores retailers,Nonstore retailers,Electronic shopping and mail order houses,Fuel dealers,Food services and drinking places
Jan. 2019,"456,538","368,649","420,099","332,210","399,461","311,572","91,540","87,889","80,625","76,147","67,012","9,135","7,264","15,980","8,818","4,628","4,190",N/A,"2,246","7,162","1,198","5,964","26,620","23,425",912,"2,083","62,829","57,184","54,876","3,933","28,639","24,194","36,439","16,155","11,955",630,"2,400","6,606","1,179","2,187","1,788","5,658","2,784","1,131","1,029","51,708","8,681","2,367","6,314","43,027","37,147","5,880","9,141","2,039","1,014","1,025","1,366","58,403","49,099","4,656","57,077",N/A,"50,245","24,924","25,321","502,724","403,119","462,943","363,338","440,751","341,146","107,814","99,605","91,828","7,777","17,406","9,787","7,619","32,451","28,291","63,940","57,299","4,660","28,639","23,673","39,781","22,040","16,097",788,"3,297","3,102","2,569","6,541","59,432","11,469","47,963","41,274","6,689","10,346","60,570","52,738","2,871","61,973"
Feb. 2019,"442,274","352,651","406,760","317,137","384,967","295,344","90,967","89,623","82,469","77,461","67,456","10,005","7,154","15,191","8,629","4,616","4,013",N/A,"2,088","6,562","1,177","5,385","24,039","21,061",860,"1,910","56,898","51,284","49,031","3,916","26,772","22,372","35,514","17,961","12,514",591,"2,571","6,905","1,212","2,722","2,484","5,249","2,876","1,088",585,"50,626","9,108","2,641","6,467",41518,"35,759","5,759","8,938","1,940",833,"1,107","1,342","54,156","45,894","3,987","57,307",N/A,"50,014","24,992","25,022","502,627","402,274","461,187","360,834","439,996","339,643","107,153","100,353","92,351","8,002","17,370","9,862","7,508","30,745","26,795","62,493","55,865","4,667","28,756","23,699","41,440","22,012","15,991",740,"3,230","3,125","2,623","6,594","58,756","11,486","47,270","40,681","6,589","10,455","61,022","53,365","2,891","62,631"
Mar. 2019,"513,845","403,490","471,780","361,425","447,155","336,800","106,564","110,355","101,927","94,814","82,564","12,250","8,428","17,210","10,018","5,503","4,515",N/A,"2,353","7,192","1,334","5,858","29,916","25,871","1,029","2,340","63,504","57,216","54,609","4,445","28,786","23,599","42,065","22,059","16,212",733,"3,430","9,058","1,458","3,383","2,197","6,353","3,700","1,265",603,"58,788","10,615","3,080","7,535",48173,"41,608","6,565","10,028","2,154",889,"1,265","1,526","58,091","49,797","3,738","66,690",N/A,"58,242","28,567","29,675","510,320","407,080","467,658","364,418","447,167","343,927","108,744","103,240","95,081","8,159","17,579","10,008","7,571","31,106","27,290","63,724","57,045","4,704","28,700","23,741","42,662","22,431","16,328",759,"3,324","3,168","2,653","6,632","59,647","11,416","48,231","41,525","6,706","10,601","60,845","53,145","3,032","63,153"
Apr. 2019,"506,920","403,550","462,650","359,280","442,921","339,551","102,978","103,370","95,090","87,537","76,907","10,630","8,280","16,068","9,579","5,065","4,514",N/A,"2,300","6,489","1,310","5,179","34,033","29,233",982,"2,517","62,402","56,053","53,382","4,358","28,402","23,766","44,270","21,500","15,820",846,"3,438","8,747","1,285","3,043","2,378","6,253","3,678","1,159",650,"56,991","10,422","3,098","7,324","46,569","39,923","6,646","10,492","2,166",848,"1,318","1,583","59,140","51,785","2,612","63,999",N/A,"55,676","27,052","28,624","512,326","410,137","468,839","366,650","448,709","346,520","109,319","102,189","94,055","8,134","17,592","10,073","7,519","30,959","27,295","63,950","57,255","4,686","28,545","23,624","43,487","22,360","16,299",769,"3,271","3,083","2,693","6,775","60,161","11,443","48,718","41,936","6,782","10,829","61,862","54,225","2,918","63,617"
19-May,"544,203","432,418","496,816","385,031","475,897","364,112","110,415","111,785","103,213","94,742","83,937","10,805","8,572","17,408","10,296","5,566","4,730",N/A,"2,480","7,112","1,471","5,641","37,235","32,196","1,192","2,821","66,510","59,656","56,715","4,861","29,487","24,612","47,387","23,079","16,829",852,"3,636","9,381","1,395","3,018","2,898","6,522","3,826","1,235",696,"60,909","11,267","3,287","7,980","49,642","42,586","7,056","12,343","2,497",828,"1,669","1,446","63,232","55,752","2,193","68,306",N/A,"59,735","29,627","30,108","513,870","411,251","470,594","367,975","449,552","346,933","108,851","102,619","94,517","8,102","17,664","10,074","7,590","30,338","27,010","64,071","57,417","4,683","28,684","23,849","43,276","22,246","16,265",759,"3,299","3,030","2,659","6,815","59,648","11,430","48,218","41,466","6,752","10,885","63,306","55,641","2,893","64,318"
Jun. 2019,"515,269","410,619","470,393","365,743","448,595","343,945","105,867","104,650","96,499","88,523","78,207","10,316","8,151","16,742","9,759","5,335","4,424",N/A,"2,200","6,983","1,398","5,585","33,517","29,265","1,174","2,579","64,479","57,791","54,902","4,769","27,642","22,692","44,876","21,116","15,728",740,"3,116","9,009","1,496","2,796","2,291","6,671","4,165","1,169",613,"58,979","10,605","3,014","7,591","48,374","41,710","6,664","11,183","2,359",751,"1,608","1,415","58,740","51,981","1,785","66,674",N/A,"58,908","29,112","29,796","515,911","412,955","473,294","370,338","450,927","347,971","109,081","102,956","94,886","8,070","17,620","10,071","7,549","30,385","26,775","64,557","57,849","4,736","28,615","23,736","42,617","22,374","16,346",746,"3,259","3,042","2,670","6,892","59,693","11,280","48,413","41,668","6,745","11,001","64,217","56,317","2,970","64,984"
Jul. 2019,"528,710","419,527","482,318","373,135","462,097","352,914","107,090","109,183","100,703","93,041","82,550","10,491","8,480","17,358","10,188","5,496","4,692",N/A,"2,454","7,170","1,523","5,647","33,691","29,938","1,248","2,524","66,428","59,460","56,476","4,993","28,142","23,437","46,392","21,742","15,971",669,"3,104","9,246","1,472","3,093","2,405","6,636","4,133","1,178",591,"58,759","10,610","2,940","7,670","48,149","41,581","6,568","11,234","2,595",891,"1,704","1,456","62,532","55,604","1,857","66,613",N/A,"59,300","29,069","30,231","519,447","415,767","476,049","372,369","454,012","350,332","109,662","103,680","95,634","8,046","17,719","10,067","7,652","30,679","26,826","65,344","58,581","4,760","28,398","23,626","43,398","22,548","16,409",760,"3,278","3,068","2,774","6,785","60,138","11,380","48,758","42,001","6,757","10,900","64,423","56,508","2,948","65,435"
Aug. 2019,"541,951","427,360","496,002","381,411","473,482","358,891","114,131","114,591","105,884","98,738","88,148","10,590","8,707","18,135","10,616","5,705","4,911",N/A,"2,577","7,519","1,467","6,052","32,375","28,915","1,257","2,525","66,937","59,954","56,957","5,017","28,528","23,562","45,949","23,829","17,028",714,"3,169","10,034","1,496","3,988","2,519","7,608","4,368","1,269","1,124","61,777","11,542","3,054","8,488","50,235","43,575","6,660","11,689","2,782","1,260","1,522","1,632","62,064","54,963","1,954","68,469",N/A,"59,998","29,623","30,375","521,833","416,233","479,050","373,450","456,500","350,900","109,339","105,600","97,409","8,191","17,654","10,082","7,572","31,270","27,382","65,328","58,549","4,783","28,414","23,586","42,783","22,432","16,276",754,"3,214","3,040","2,805","6,775","60,073","11,264","48,809","42,061","6,748","11,199","64,972","56,956","2,925","65,333"
Sep. 2019,"493,076","393,464","450,325","350,713","429,556","329,944","100,240","99,612","91,758","85,985","76,300","9,685","7,854","17,239","10,116","5,631","4,485",N/A,"2,305","7,123","1,357","5,766","29,963","26,662","1,149","2,317","62,420","56,083","53,251","4,454","27,297","22,515","42,751","19,567","14,374",725,"2,923","8,193","1,225","2,594","2,330","6,325","3,403","1,254",871,"54,785","9,732","2,858","6,874","45,053","38,806","6,247","10,711","2,324",893,"1,431","1,557","58,886","51,913","2,041","63,520",N/A,"54,572","26,720","27,852","518,605","414,893","476,067","372,355","452,849","349,137","108,996","103,712","95,681","8,031","17,795","10,177","7,618","30,806","26,904","64,871","58,117","4,764","28,434","23,625","42,538","22,415","16,187",758,"3,226","3,016","2,902","6,823","59,589","11,098","48,491","41,817","6,674","11,208","64,658","56,798","2,827","65,756"
Oct. 2019,"522,195","418,339","477,847","373,991","456,436","352,580","106,921","103,856","95,219","89,711","79,728","9,983","8,637","17,368","10,272","5,432","4,840",N/A,"2,506","7,096","1,409","5,687","32,629","28,697","1,162","2,549","64,849","58,172","55,304","4,676","29,551","24,856","44,348","21,400","16,070",777,"3,226","9,347","1,287","2,721","2,353","6,435","3,526","1,407",650,"58,872","10,441","2,921","7,520","48,431","41,653","6,778","11,933","2,846",831,"2,015","1,842","65,195","57,196","2,666","65,759",N/A,"56,410","27,595","28,815","521,114","417,017","477,848","373,751","455,486","351,389","109,047","104,097","95,987","8,110","17,566","10,120","7,446","31,118","27,022","64,915","58,172","4,742","28,718","23,900","43,266","22,400","16,314",766,"3,210","3,044","2,755","6,846","59,869","11,069","48,800","42,116","6,684","11,397","65,294","57,426","2,842","65,628"
