NAICS  Code,Kind of Business,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020,TOTAL
452,General merchandise stores,"53,203","54,596","63,624","54,576","63,381","60,501","61,674","62,304","58,567","63,203","66,964","77,086","739,679"
4521,Department stores,"8,479","9,067","8,158","5,941","8,768","9,047","9,384","9,879","9,182","9,733","11,235","14,624","113,497"
452111,Department stores(excl. discount department stores),"2,146","2,473","1,305",11,"1,049","1,524","1,591","1,739","1,786","1,913","2,357","3,492","21,386"
452112,Discount dept. stores,"6,333","6,594","6,853","5,930","7,719","7,523","7,793","8,140","7,396","7,820","8,878","11,132","92,111"
4529,Other general merchandise stores,"44,724",45529,55466,"48,635","54,613","51,454","52,290","52,425","49,385","53,470","55,729","62,462","626,182"
45291,Warehouse clubs and superstores,"38,811","39,451","47,739","41,322","46,287","43,615","44,706","45,080","42,093","45,714","47,744","53,210","535,772"
45299,All other gen. merchandise stores,"5,913","6,078","7,727","7,313","8,326","7,839","7,584","7,345","7,292","7,756","7,985","9,252","90,410"
453,Miscellaneous store retailers,"10,394","10,302","9,580","7,319","9,812","11,544","11,992","11,842","11,604","12,400","11,988","13,939","132,716"
4532,"Office supplies, stationery, and gift stores","2,037","1,953","1,646",816,"1,220","1,640","2,020","2,210","2,153","2,601","1,860","2,616","22,772"
45321,Office supplies and stationery stores,963,816,868,605,707,780,869,"1,105",968,800,724,912,"10,117"
45322,"Gift, novelty, and souvenir stores","1,074","1,137",778,211,513,860,"1,151","1,105","1,185","1,801","1,136","1,704","12,655"
45330,Used merchandise stores,"1,501","1,551","1,028",420,882,"1,246","1,300","1,491","1,357","1,607","1,537","1,465","15,385"
454,Nonstore retailers,"62,245","58,864","66,414","73,022","78,134","76,015","79,072","77,168","75,540","81,386","91,542","105,157","924,559"
4541,Electronic shopping and mail-order houses,"53,485","50,716","58,622","67,339","72,558","69,954","72,123","70,505","68,425","73,023","83,769","96,203","836,722"
45431,Fuel dealers,"4,240","3,565","3,016","2,069","1,741","1,577","1,603","1,630","1,885","2,262","2,563","3,723","29,874"
722,Food services and drinking places,"61,567","62,956","47,740","30,017","42,321","51,473","54,511","56,358","54,740","57,392","50,911","51,497","621,483"
7224,Drinking places,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7225,Restaurants and other eating places,"54,131","54,911","42,238","27,674","39,803","48,350","51,178","52,457","50,423","52,829","46,984","47,987","568,965"
722511,Full service restaurants,"27,018",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"722513, 722514, 722515",Limited service eating places,"27,113","27,062","24,159","20,001","26,498","28,789","30,214","30,013","28,743","29,950","27,249","28,640","328,431"
,"Retail and food services sales, total","526,930","525,810","480,407","409,819","484,295","526,187","533,517","537,980","549,211","548,930","540,495","535,985",
,Retail sales and food services excl motor vehicle and parts,"421,768","420,290","402,361","341,621","383,353","415,613","424,069","428,168","434,837","435,315","429,295","421,434",
,Retail sales and food services excl gasoline stations,"483,735","484,185","445,730","383,688","454,679","491,896","497,521","501,511","512,312","512,059","504,443","497,218",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"378,573","378,665","367,684","315,490","353,737","381,322","388,073","391,699","397,938","398,444","393,243","382,667",
,"Retail sales, total","460,586","459,610","434,281","379,892","444,631","475,723","481,303","483,422","493,411","492,938","487,017","484,642",
,"Retail sales, total (excl. motor vehicle and parts dealers)","355,424","354,090","356,235","311,694","343,689","365,149","371,855","373,610","379,037","379,323","375,817","370,091",
,GAFO(1),"110,605","110,253","99,040","72,279","89,050","105,746","107,125","107,143","112,839","111,646","108,858","107,744",
441,Motor vehicle and parts dealers,"105,162","105,520","78,046","68,198","100,942","110,574","109,448","109,812","114,374","113,615","111,200","114,551",
"4411,4412",Automobile and other motor vehicle dealers,"97,095","97,614","70,865","61,388","92,558","101,687","100,831","101,093","105,827","105,316","102,920","106,274",
4413,"Automotive parts, acc., and tire stores","8,067","7,906","7,181","6,810","8,384","8,887","8,617","8,719","8,547","8,299","8,280","8,277",
"442,443","Furniture, home furn, electronics, and appliance stores","17,942","17,837","14,360","7,687","11,621","16,108","17,327","17,798","17,722","17,978","17,556","17,077",
442,Furniture and home furnishings stores,"10,475","10,456","8,225","4,160","7,349","10,104","10,346","10,812","10,843","10,864","10,705","10,621",
443,Electronics and appliance stores,"7,467","7,381","6,135","3,527","4,272","6,004","6,981","6,986","6,879","7,114","6,851","6,456",
444,Building mat. and garden equip. and supplies dealers,"32,920","32,904","32,810","32,184","35,951","36,366","35,906","36,692","37,035","36,752","36,986","37,100",
4441,Building mat. and supplies dealers,"28,808","28,817","28,969","27,851","31,347","31,540","31,190","32,035","32,101","31,963","32,178","32,321",
445,Food and beverage stores,"65,321","65,326","82,743","72,048","73,702","72,511","72,715","71,763","71,771","71,265","72,188","71,387",
4451,Grocery stores,"58,546","58,441","75,026","65,033","65,931","64,685","64,944","63,861","63,823","63,446","64,371","63,775",
4453,"Beer, wine and liquor stores","4,875","4,901","5,730","5,281","5,749","5,757","5,701","5,825","5,790","5,675","5,727","5,543",
446,Health and personal care stores,"28,872","29,064","30,492","25,958","26,251","28,336","29,811","29,599","29,972","29,883","29,520","29,876",
44611,Pharmacies and drug stores,"23,821","23,875","26,786","23,838","23,648","24,954","25,691","25,236","26,071","25,615","25,071","25,398",
447,Gasoline stations,"43,195","41,625","34,677","26,131","29,616","34,291","35,996","36,469","36,899","36,871","36,052","38,767",
448,Clothing and clothing access. stores,"22,914","22,560","11,494","2,836","8,394","17,361","18,067","18,679","21,334","20,797","19,528","20,130",
4481,Clothing stores,"16,519","16,441","7,826","1,764","5,292","11,441","12,071","12,762","14,395","14,123","13,199","13,426",
44811,Men's clothing stores,745,745,319,77,138,313,451,411,414,N/A,N/A,450,
