Kind of Business,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Home furnishings stores,Floor covering stores,All other home furnishings stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Drinking places,Restaurants and other eating places,Full service restaurants,Limited service eating places,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Electronics and appliance stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Food and beverage stores,Grocery stores,"Beer, wine and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Department stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous stores retailers,Nonstore retailers,Electronic shopping and mail order houses,Fuel dealers,Food services and drinking places
Jan. 2013,"375,468","306,084","333,706","264,322","333,663","264,279","86,297","69,384","62,999","59,981","53,205","6,776","6,385","15,471","7,303","3,974","3,329","1,209","2,014","8,168","1,241","6,927","19,284","17,033",659,"1,483","51,652","47,095","45,249","3,143","23,289","19,799","41,762","15,165","11,297",603,"2,657","5,655","1,037","1,898","1,792","6,526","3,071","1,029","1,660","46,639","11,307","3,719","7,588","35,332","31,056","4,276","8,078","2,496","1,544",952,"1,173","36,413","27,927","5,017","41,805","1,692","36,471","18,538","17,933","412,155","334,456","366,111","288,412","367,009","289,310","100,937","77,699","70,706","6,993","16,723","7,912","8,811","24,376","20,848","52,654","47,237","3,742","23,173","19,430","46,044","20,434","15,103",775,"3,655","2,596","2,520","7,010","54,074","14,739","39,335","34,316","5,019","9,223","35,599","28,820","3,033","45,146"
Feb. 2013,"373,974","300,849","331,745","258,620","332,471","259,346","89,304","73,125","66,624","63,193","54,771","8,422","6,501","15,361","7,100","3,998","3,102","1,181","1,831","8,261","1,291","6,970","18,638","16,372",624,"1,424","48,596","43,863","42,051","3,212","21,743","18,170","42,229","17,397","12,242",566,"2,797","6,309","1,147","2,416","2,545","5,586","3,015","1,079",742,"48,542","12,042","4,101","7,941",36500,"31,928","4,572","8,159","2,418","1,367","1,051","1,142","33,095","25,046","4,633","41,503","1,672","36,042","18,344","17,698","417,159","338,338","368,113","289,292","372,291","293,470","101,292","78,821","71,716","7,105","16,727","7,863","8,864","24,759","21,098","53,230","47,677","3,788","23,008","19,248","49,046","20,305","14,885",697,"3,386","2,618","2,573","7,009","54,534","14,544","39,990","34,932","5,058","9,276","35,576","28,624","3,182","44,868"
Mar. 2013,"421,748","337,976","374,018","290,246","374,171","290,399","100,628","83,772","76,641","71,700","63,412","8,288","7,131","16,179","7,891","4,492","3,399","1,301","2,004","8,288","1,382","6,906","23,118","19,735",738,"1,629","54,260","48,910","46,877","3,603","23,533","19,552","47,730","20,591","15,366",690,"3,720","7,971","1,348","2,866","2,144","6,622","3,831","1,250",707,"54,707","13,922","4,769","9,153",40785,"35,671","5,114","8,901","2,529","1,363","1,166","1,270","34,758","27,016","4,016","47,577","2,020","41,455","21,122","20,333","414,092","336,182","366,505","288,595","369,081","291,171","100,729","77,910","70,898","7,012","16,509","7,867","8,642","24,692","21,175","53,103","47,624","3,765","23,049","19,282","47,587","20,316","14,838",714,"3,435","2,676","2,574","6,891","54,236","14,440","39,796","34,733","5,063","9,367","35,421","28,528","3,215","45,011"
Apr. 2013,"408,551","326,887","361,736","280,072","362,978","281,314","92,422","81,664","74,547","69,013","61,553","7,460","7,117","14,692","7,333","3,995","3,338","1,304","1,937","7,359","1,311","6,048","28,750","23,775",832,"1,882","50,388","45,367","43,327","3,464","22,815","19,075","46,815","19,194","14,103",728,"3,495","7,293","1,192","2,647","2,244","5,952","3,427","1,117",664,"50,122","12,562","4,512","8,050","37,560","32,722","4,838","8,909","2,462","1,302","1,160","1,198","33,677","27,096","2,875","45,573","1,764","39,287","19,638","19,649","412,237","333,848","366,068","287,679","367,514","289,125","100,769","78,389","71,405","6,984","16,502","7,834","8,668","24,815","21,458","52,733","47,307","3,757","22,953","19,171","46,169","20,498","14,906",718,"3,437","2,780","2,585","6,795","54,198","14,230","39,968","34,848","5,120","9,322","35,140","28,284","3,219","44,723"
13-May,"437,214","350,308","388,019","301,113","389,709","302,803","100,605","86,906","79,448","73,193","65,942","7,251","7,458","15,752","7,860","4,238","3,622","1,443","2,075","7,892","1,483","6,409","32,626","26,416",906,"2,041","55,266","49,615","47,387","3,916","23,562","19,692","49,195","20,803","15,153",761,"3,724","7,981","1,198","2,677","2,719","6,377","3,656","1,127",821,"54,971","14,037","4,972","9,065","40,934","35,530","5,404","10,318","2,702","1,257","1,445","1,265","33,933","27,709","2,199","47,505","1,844","41,186","20,546","20,640","414,309","334,591","368,716","288,998","369,493","289,775","100,866","79,718","72,622","7,096","16,422","7,759","8,663","25,320","21,724","53,253","47,799","3,787","23,055","19,212","45,593","20,376","14,946",714,"3,445","2,704","2,490","6,857","54,453","14,336","40,117","34,936","5,181","9,319","35,127","28,419","3,012","44,816"
Jun. 2013,"414,816","332,014","366,330","283,528","369,355","286,553","96,807","82,802","75,618","69,762","62,723","7,039","7,184","15,457","7,587","4,111","3,476","1,419","1,947","7,870","1,410","6,460","27,664","23,379",862,"1,924","53,261","47,840","45,633","3,776","22,121","18,422","48,486","18,964","14,128",691,"3,253","7,485","1,266","2,481","2,137","6,500","3,953","1,067",724,"53,381","13,339","4,519","8,820","40,042","34,923","5,119","9,263","2,505","1,151","1,354","1,237","31,456","25,811","1,783","45,461","1,714","39,908","19,783","20,125","415,742","334,425","369,914","288,597","371,041","289,724","101,163","81,317","74,281","7,036","16,644","7,986","8,658","24,799","21,449","53,217","47,792","3,757","23,043","19,250","45,828","20,368","14,919",700,"3,431","2,714","2,502","6,893","54,447","14,219","40,228","35,063","5,165","9,169","35,316","28,552","2,967","44,701"
Jul. 2013,"422,532","336,255","372,707","286,430","377,031","290,754","96,603","86,277","78,809","73,343","66,302","7,041","7,468","16,078","8,013","4,265","3,748","1,518","2,115","8,065","1,501","6,564","27,370","23,878",921,"1,823","54,534","48,871","46,574","3,994","23,052","19,324","49,825","19,202","14,313",662,"3,161","7,857","1,132","2,651","2,018","6,445","3,818","1,118",705,"52,095","12,611","4,082","8,529","39,484","34,478","5,006","9,353","2,783","1,290","1,493","1,300","32,800","27,061","1,900","45,501","1,707","40,100","19,617","20,483","418,604","336,889","372,598","290,883","373,554","291,839","101,594","81,715","74,630","7,085","16,571","7,973","8,598","25,347","21,648","53,618","48,101","3,829","23,308","19,402","46,006","20,578","15,128",746,"3,489","2,759","2,455","6,938","54,636","14,115","40,521","35,290","5,231","9,209","35,628","28,819","3,016","45,050"
Aug. 2013,"435,215","346,249","385,652","296,686","388,299","299,333","104,854","88,966","81,261","75,873","68,513","7,360","7,705","16,906","8,503","4,604","3,899","1,604","2,194","8,403","1,479","6,924","26,001","23,012",935,"1,821","55,121","49,387","47,055","4,056","23,352","19,401","49,563","21,591","15,645",704,"3,458","8,365","1,318","3,562","2,149","7,711","4,158","1,156","1,568","55,384","14,159","4,641","9,518","41,225","36,142","5,083","9,856","3,262","1,783","1,479","1,391","33,848","27,923","1,974","46,916","1,795","41,016","20,396","20,620","417,644","336,272","372,006","290,634","372,489","291,117","100,997","81,372","74,211","7,161","16,614","8,022","8,592","25,284","21,730","53,693","48,135","3,848","23,305","19,479","45,638","20,315","14,880",752,"3,486","2,742","2,448","6,764","54,466","14,066","40,400","35,192","5,208","9,304","35,734","28,876","2,977","45,155"
Sep. 2013,"396,415","320,614","350,343","274,542","352,749","276,948","93,006","75,801","68,825","64,594","58,264","6,330","6,976","15,744","7,890","4,302","3,588","1,494","1,990","7,854","1,412","6,442","24,177","21,382",822,"1,700","51,749","46,601","44,408","3,588","22,755","19,047","46,072","18,136","13,471",699,"3,266","7,070","1,050","2,450","2,001","6,333","3,229","1,172","1,106","50,059","12,517","4,396","8,121","37,542","32,701","4,841","9,270","2,734","1,419","1,315","1,221","32,653","26,934","2,232","43,666","1,710","37,362","18,514","18,848","417,849","337,653","372,097","291,901","372,505","292,309","101,412","80,196","73,063","7,133","16,612","8,084","8,528","25,259","21,708","53,820","48,291","3,837","23,728","19,924","45,752","20,305","14,808",740,"3,482","2,737","2,517","6,876","54,836","14,139","40,697","35,429","5,268","9,502","35,619","28,961","3,074","45,344"
Oct. 2013,"415,942","336,805","369,425","290,288","369,868","290,731","98,325","79,137","71,395","67,373","60,591","6,782","7,742","16,139","8,109","4,310","3,799","1,559","2,131","8,030","1,452","6,578","26,000","22,833",834,"1,852","53,747","48,396","46,195","3,741","24,056","20,286","46,517","19,884","14,816",807,"3,483","8,000","1,070","2,623","2,232","6,053","3,160","1,351",718,"53,095","13,332","4,634","8,698","39,763","34,495","5,268","10,044","3,154","1,304","1,850","1,416","35,196","28,301","3,014","46,074","1,818","39,267","19,540","19,727","419,599","338,108","374,524","293,033","373,663","292,172","102,180","81,491","74,215","7,276","16,807","8,191","8,616","24,917","21,541","53,943","48,444","3,810","23,771","19,791","45,075","20,790","15,049",784,"3,480","2,857","2,645","6,863","54,919","14,261","40,658","35,416","5,242","9,488","35,599","28,703","3,217","45,936"
