<<<<<<< HEAD
Kind of Business,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Home furnishings stores,Floor covering stores,All other home furnishings stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Drinking places,Restaurants and other eating places,Full service restaurants,Limited service eating places,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Electronics and appliance stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Food and beverage stores,Grocery stores,"Beer, wine and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Department stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous stores retailers,Nonstore retailers,Electronic shopping and mail order houses,Fuel dealers,Food services and drinking places
Jan. 2021,"517,119","412,864","479,905","375,650","464,362","360,107","102,333","104,255","96,537","90,463","79,954","10,509","7,718","17,773","10,707","6,099",N/A,N/A,N/A,"7,066","1,631","5,435","31,229","27,143",923,"2,352","71,726","64,785","62,085","5,087","29,509","25,420","37,214","15,740","10,568",349,"2,043","5,903","1,184","2,213","2,640","7,421","4,150","1,646",820,"59,643","8,327","1,273","7,054","51,316","44,568","6,748","11,175","1,756",885,871,"1,385","78,677","69,830","4,115","52,757",N/A,"49,022",N/A,"28,457","576,466","456,387","535,571","415,492","520,162","400,083","118,584","120,079","111,475","8,604","19,623","12,098","7,525","39,996","34,710","72,730","64,656","5,936","30,204","25,548","40,895","21,351","14,174",435,"2,765","3,069","3,729","8,579","66,933","10,698","56,235","48,443","7,792","12,744","87,028","78,993","2,676","56,304"
Feb. 2021,"490,646","387,850","454,351","351,555","440,019","337,223","95,043","102,796","95,277","88,438","77,194","11,244","7,519","16,206","10,003","5,675",N/A,N/A,N/A,"6,203","1,493","4,710","29,605","25,637",895,"2,204","65,819","59,018","56,483","4,968","27,494","23,466","36,295","16,568","10,654",362,"2,069","5,919","1,152","2,163","3,419","6,424","3,840","1,445",459,"54,183","7,881","1,495","6,386",46302,"39,956","6,346","10,515","1,662",764,898,"1,341","74,114","65,004","4,423","50,627",N/A,"46,460",N/A,"25,809","559,970","444,228","517,767","402,025","504,458","388,716","111,754","115,742","107,294","8,448","18,560","11,471","7,089","38,082","32,784","72,343","64,290","5,907","29,691","24,805","42,203","20,180","13,643",460,"2,586","2,512","3,633","8,030","62,909","9,900","53,009","45,664","7,345","12,394","84,324","75,939","3,148","55,512"
Mar. 2021,"633,078","486,171","586,718","439,811","567,933","421,026","126,263","146,907","136,709","125,144","107,329","17,815","10,198","20,531","12,551","7,128",N/A,N/A,N/A,"7,980","1,959","6,021","43,520","37,395","1,276","2,915","72,656","64,734","61,761","5,727","33,172","27,972","46,360","24,171","16,275",569,"3,159","9,424","1,609","3,678",N/A,"9,554","6,164","1,980",547,"69,886","10,825","2,103","8,722",59061,"50,973","8,088","13,605","2,121",892,"1,229","1,703","87,571","77,955","3,757","65,145",N/A,"59,882",N/A,"32,616","623,119","487,687","576,666","441,234","559,871","424,439","129,221","135,432","125,883","9,549","20,753","12,414","8,339","43,458","38,080","72,955","64,605","6,112","32,081","27,078","46,453","25,012","16,518",588,"3,061","3,463",N/A,"9,931","71,164","11,309","59,855","51,644","8,211","13,746","88,886","80,201","2,947","63,248"
Apr. 2021,"625,527","481,396","578,253","434,122","558,181","414,050","119,664","144,131","134,233","122,215","105,362","16,853","9,898","19,430","12,124","6,845",N/A,N/A,N/A,"7,306","1,852","5,454","47,108","39,965","1,276","3,149","71,619","63,749","60,657","5,712","31,792","27,080","47,274","23,599","16,033",669,"3,124","9,332","1,470","3,364",N/A,"9,008","5,885","1,777",514,"65,512","10,039","2,159","7,880","55,473","47,252","8,221","13,642","2,115",817,"1,298","1,780","85,066","76,206","2,614","67,346",N/A,"61,717",N/A,"33,008","628,751","487,364","582,943","441,556","562,269","420,882","127,156","141,387","131,730","9,657","20,997","12,551","8,446","42,042","36,699","73,492","65,183","6,070","32,113","27,080","45,808","24,660","16,610",605,"3,039","3,381",N/A,"9,749","69,437","11,238","58,199","49,844","8,355","13,609","88,975","80,048","2,921","66,482"
May.2021,"643,099","500,389","592,919","450,209","570,641","427,931","126,686","142,710","133,232","121,429","105,868","15,561","9,478","19,745","12,151","6,796",N/A,N/A,N/A,"7,594","1,776","5,818","46,920","40,129","1,271","3,268","76,383","68,015","64,771","6,084","31,169","26,377","50,180","26,503","17,598",N/A,"3,381","10,311","1,526","3,587",N/A,"8,912","5,715","1,768",632,"69,330","11,254","2,646","8,608","58,076","49,526","8,550","14,367","2,196",773,"1,423","1,657","84,422","76,293","2,209","72,458",N/A,"66,471",N/A,"34,025","620,119","485,272","573,483","438,636","550,781","415,934","125,386","134,847","125,454","9,393","20,514","12,286","8,228","39,648","34,804","74,349","66,098","5,976","31,138","26,351","46,636","25,586","17,187",N/A,"3,175","3,459",N/A,"9,583","67,394","11,456","55,938","47,621","8,317","13,169","87,917","79,142","3,094","69,338"
Jun. 2021,"635,437","498,169","584,134","446,866","562,929","425,661","124,474","137,268","127,542","115,655","100,052","15,603","9,726","19,991","12,008","6,504",N/A,N/A,N/A,"7,983","1,907","6,076","45,421","39,531","1,337","3,230","74,890","66,531","63,313","6,058","32,396","27,330","51,303","25,301","17,331",N/A,"3,279","10,180","1,707","3,328",N/A,"9,345","6,051","1,733",703,"67,458","11,263","2,899","8,364","56,195","48,205","7,990","14,504","2,379",763,"1,616","1,591","85,052","77,056","2,146","72,508",N/A,"66,346",N/A,"33,892","625,405","493,387","577,097","445,079","554,388","422,370","127,960","132,018","122,755","9,263","20,686","12,093","8,593","39,095","34,078","75,073","66,731","6,034","32,559","27,746","48,308","26,464","17,751",N/A,"3,305","3,442",N/A,"9,449","68,999","12,121","56,878","48,840","8,038","13,734","88,003","79,113","3,281","71,017"
Jul. 2021,"634,486","500,441","580,997","446,952","558,031","423,986","127,008","134,045","124,297","113,575","98,633","14,942","9,748","20,371","12,393","6,759",N/A,N/A,N/A,"7,978","1,848","6,130","41,626","36,781","1,242","2,974","77,495","68,923","65,561","6,230","31,871","27,035","53,489","25,874","17,876",N/A,"3,338","10,536","1,651","3,456",N/A,"9,200","5,845","1,812",712,"69,034","11,728","3,110","8,618","57,306","49,580","7,726","14,421","2,529",799,"1,730","1,781","80,605","72,804","2,026","76,455",N/A,"70,011",N/A,"35,415","615,250","488,908","565,769","439,427","543,191","416,849","126,198","126,342","117,040","9,302","20,551","12,055","8,496","38,657","33,621","74,630","66,592","5,726","32,389","27,615","49,481","25,776","17,428",N/A,"3,308","3,282",N/A,"9,256","68,273","12,184","56,089","48,371","7,718","13,902","83,934","75,133","3,156","72,059"
Aug. 2021,"631,415","503,052","578,143","449,780","557,018","428,655","129,394","128,363","118,495","108,598","93,126","15,472","9,868","20,493","12,541","6,713",N/A,N/A,N/A,"7,952","1,820","6,132","39,997","35,401","1,280","2,879","76,299","68,259","64,988","5,766","32,233","27,461","53,272","25,745","17,279",N/A,"3,100","10,332","1,571","3,910",N/A,"9,765","5,884","1,844","1,154","70,669","12,314","3,200","9,114","58,355","50,738","7,617","14,469","2,722","1,119","1,603","1,725","85,713","78,023","2,063","74,397",N/A,"66,971",N/A,"34,286","622,383","499,439","572,079","449,135","550,293","427,349","128,172","122,944","113,501","9,443","20,378","12,247","8,131","39,275","33,974","76,288","68,123","5,854","32,624","27,710","50,304","25,776","17,303",N/A,"3,243","3,248",N/A,"8,910","70,665","12,452","58,213","50,385","7,828","14,226","88,903","80,188","3,065","72,090"
Sep. 2021,"607,540","484,274","555,081","431,815","536,229","412,963","120,178","123,266","113,797","104,717","89,210","15,507","9,469","20,033","12,388","6,789",N/A,N/A,N/A,"7,645","1,809","5,836","39,278","34,689","1,251","2,818","74,774","66,939","63,796","5,635","31,787","26,991","52,459","23,306","15,846",N/A,"3,085","9,074","1,476","2,936",N/A,"8,804","5,081","1,939",883,"65,393","10,765","2,787","7,978","54,628","47,157","7,471","14,437","2,642",907,"1,735","1,618","82,692","74,716","2,341","71,311",N/A,"63,323",N/A,"32,425","626,999","502,551","574,956","450,508","554,233","429,785","128,801","124,448","115,063","9,385","20,242","12,109","8,133","39,299","34,143","76,646","68,515","5,839","32,304","27,854","52,043","26,293","17,502",N/A,"3,271","3,363",N/A,"9,277","70,474","12,129","58,345","50,489","7,856","14,675","88,532","79,740","3,168","72,766"
Oct. 2021,"634,076","509,076","578,828","453,828","559,399","434,399","129,521","125,000","115,116","106,003","90,324","15,679","9,884","20,526","12,439","6,801",N/A,N/A,N/A,"8,087","1,799","6,288","39,857","34,975","1,223","2,860","77,642","69,523","66,320","5,828","32,098","27,408","55,248","25,080","17,187",N/A,"3,247","10,101","1,441","3,011",N/A,"8,841","5,123","2,063",697,"72,084","11,885","3,211","8,674","60,199","52,138","8,061","15,339","2,990",765,"2,225","1,846","87,684","78,675","2,911","74,677",N/A,"66,353",N/A,"33,697","638,102","511,571","584,254","457,723","565,388","438,857","130,840","126,531","116,869","9,662","20,869","12,427","8,442","40,474","35,080","77,445","69,315","5,846","31,907","27,056","53,848","26,558","17,468",N/A,"3,241","3,395",N/A,"9,356","71,611","12,430","59,181","51,216","7,965","14,914","91,875","82,729","3,231","72,714"
