Kind of Business,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Home furnishings stores,Floor covering stores,All other home furnishings stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Drinking places,Restaurants and other eating places,Full service restaurants,Limited service eating places,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Electronics and appliance stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Food and beverage stores,Grocery stores,"Beer, wine and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Department stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous stores retailers,Nonstore retailers,Electronic shopping and mail order houses,Fuel dealers,Food services and drinking places
Jan. 2014,"383,488","312,728","340,831","270,071","340,558","269,798","86,320","70,760","64,116","60,942","54,772","6,170","6,644","15,134","7,254","3,945","3,309","1,279","1,930","7,880","1,264","6,616","19,680","17,508",625,"1,661","54,132","49,275","47,421","3,333","23,911","20,417","42,657","15,220","11,095",593,"2,439","5,695","1,184","2,021","1,900","5,966","2,720","1,020","1,479","47,523","10,625","3,416","7,209","36,898","32,389","4,509","8,094","2,477","1,474","1,003","1,090","37,481","27,458","6,624","42,930","1,643","37,569","19,602","17,967","418,947","339,912","371,812","292,777","373,033","293,998","100,549","79,035","71,798","7,237","16,309","7,808","8,501","24,872","21,430","54,797","49,128","3,903","23,768","19,977","47,135","20,517","14,843",761,"3,360","2,791","2,650","6,485","54,538","13,711","40,827","35,553","5,274","9,251","36,326","28,722","3,945","45,914"
Feb. 2014,"380,454","305,069","339,775","264,390","337,558","262,173","89,550","75,385","68,681","64,696","56,533","8,163","6,704","15,144","7,284","4,113","3,171","1,246","1,824","7,860","1,278","6,582","18,789","16,669",619,"1,569","49,991","45,225","43,368","3,261","22,543","18,932","40,679","17,552","12,111",660,"2,787","6,246","1,135","2,619","2,608","5,357","2,801","1,091",727,"49,093","11,630","4,018","7,612",37463,"32,621","4,842","8,173","2,404","1,280","1,124","1,136","34,852","25,698","5,829","42,896","1,627","37,333","19,645","17,688","425,005","343,436","377,483","295,914","378,581","297,012","102,125","81,569","74,250","7,319","16,636","8,111","8,525","24,817","21,398","54,759","49,158","3,859","23,906","20,076","47,522","20,543","14,832",802,"3,399","2,844","2,618","6,798","55,390","14,153","41,237","35,887","5,350","9,387","37,254","29,572","3,992","46,424"
Mar. 2014,"433,052","342,056","386,653","295,657","383,642","292,646","99,364","90,996","83,513","78,060","69,342","8,718","7,483","16,338","8,171","4,638","3,533","1,410","2,007","8,167","1,409","6,758","24,093","20,528",795,"1,862","54,396","49,148","47,067","3,596","24,366","20,259","46,399","20,118","14,871",729,"3,501","7,780","1,308","2,890","2,156","6,244","3,550","1,221",680,"54,213","13,278","4,589","8,689",40935,"35,795","5,140","8,929","2,451","1,337","1,114","1,313","37,550","29,047","4,862","49,410","1,895","43,202","22,458","20,744","429,658","345,152","382,790","298,284","382,601","298,095","102,550","84,506","77,184","7,322","16,851","8,254","8,597","25,282","21,677","54,888","49,246","3,875","24,053","20,178","46,868","20,667","15,019",781,"3,402","2,817","2,610","6,794","55,469","14,123","41,346","36,047","5,299","9,473","37,750","30,289","3,816","47,057"
Apr. 2014,"431,598","343,146","384,227","295,775","383,895","295,443","97,084","88,452","81,018","74,971","67,230","7,741","7,434","15,063","7,856","4,202","3,654","1,530","1,997","7,207","1,298","5,909","30,122","24,331",894,"1,965","54,270","48,847","46,711","3,643","24,138","20,384","47,371","20,370","15,019",815,"3,555","7,914","1,209","2,852","2,303","6,171","3,517","1,204",679,"53,043","13,111","4,588","8,523","39,932","34,661","5,271","8,974","2,437","1,249","1,188","1,304","35,921","29,021","3,091","47,703","1,731","41,442","20,921","20,521","433,826","348,010","386,738","300,922","386,689","300,873","103,648","85,816","78,506","7,310","16,915","8,366","8,549","26,122","22,302","55,279","49,591","3,913","24,259","20,364","47,088","21,161","15,423",776,"3,402","2,878","2,641","6,903","55,963","14,468","41,495","36,105","5,390","9,344","37,839","30,613","3,521","47,137"
14-May,"459,441","365,685","408,771","315,015","408,383","314,627","103,916","93,756","86,267","79,518","71,679","7,839","7,489","16,129","8,456","4,656","3,800","1,547","2,135","7,673","1,449","6,224","33,411","27,023",961,"2,182","57,854","51,911","49,589","4,096","24,865","20,817","50,670","21,626","15,668",834,"3,722","8,270","1,271","2,837","2,871","6,416","3,678","1,178",789,"57,191","14,031","4,954","9,077","43,160","37,496","5,664","10,564","2,554","1,192","1,362","1,330","35,901","29,441","2,318","51,058","1,895","44,376","22,551","21,825","434,640","348,656","387,853","301,869","387,100","301,116","102,996","85,984","78,783","7,201","16,760","8,347","8,413","26,465","22,766","55,451","49,771","3,897","24,594","20,570","46,787","20,765","15,122",766,"3,408","2,817","2,601","6,877","55,960","14,247","41,713","36,298","5,415","9,535","37,922","30,764","3,283","47,540"
Jun. 2014,"433,458","346,247","384,744","297,533","385,557","298,346","97,579","87,211","79,903","73,631","65,946","7,685","7,308","15,546","7,951","4,232","3,719","1,589","2,012","7,595","1,448","6,147","30,052","25,330",972,"2,022","55,339","49,596","47,306","3,966","24,127","20,168","48,714","19,006","14,066",733,"3,139","7,478","1,275","2,534","2,205","6,451","3,931","1,088",698,"54,165","13,019","4,439","8,580","41,146","35,791","5,355","9,706","2,411","1,080","1,331","1,281","35,240","29,340","1,993","47,901","1,753","42,081","20,896","21,185","435,816","349,588","390,032","303,804","388,106","301,878","103,098","86,228","79,112","7,116","16,697","8,369","8,328","26,620","22,902","55,966","50,148","4,010","24,797","20,749","45,784","20,799","15,129",754,"3,354","2,847","2,600","6,952","55,952","14,020","41,932","36,484","5,448","9,599","38,712","31,719","3,225","47,710"
Jul. 2014,"443,498","351,692","393,605","301,799","394,790","302,984","99,412","91,806","84,244","78,148","70,344","7,804","7,562","16,361","8,472","4,486","3,986","1,598","2,265","7,889","1,480","6,409","28,620","25,269","1,042","1,999","57,477","51,528","49,114","4,166","24,490","20,643","49,893","19,885","14,708",684,"3,134","8,121","1,188","2,809","2,171","6,498","3,839","1,186",702,"53,958","12,739","4,157","8,582","41,219","35,863","5,356","9,866","2,710","1,241","1,469","1,381","35,936","29,985","2,033","48,708","1,740","42,953","21,263","21,690","436,442","349,853","390,627","304,038","388,359","301,770","103,455","86,589","79,475","7,114","16,799","8,380","8,419","26,084","22,622","56,144","50,370","3,968","24,813","20,789","45,815","20,918","15,227",761,"3,410","2,846","2,632","6,928","56,067","14,124","41,943","36,483","5,460","9,623","38,579","31,497","3,263","48,083"
Aug. 2014,"451,663","358,476","402,212","309,025","401,546","308,359","107,717","93,187","85,709","80,504","72,415","8,089","7,478","16,988","8,807","4,755","4,052","1,652","2,276","8,181","1,467","6,714","26,418","23,553",980,"1,937","57,384","51,466","49,035","4,139","24,528","20,357","49,451","22,055","15,922",722,"3,407","8,540","1,350","3,652","2,278","8,105","4,382","1,189","1,698","57,401","14,190","4,636","9,554","43,211","37,892","5,319","10,112","3,168","1,679","1,489","1,403","35,917","29,993","2,064","50,117","1,817","44,039","22,102","21,937","439,680","352,463","393,807","306,590","391,305","304,088","104,413","87,217","80,027","7,190","17,004","8,517","8,487","26,569","23,001","56,299","50,506","3,980","24,902","20,858","45,873","21,035","15,339",769,"3,445","2,829","2,649","7,166","56,433","14,150","42,283","36,788","5,495","9,743","39,064","31,874","3,271","48,375"
Sep. 2014,"421,628","337,729","375,370","291,471","374,507","290,608","95,736","83,899","76,715","71,831","64,100","7,731","7,184","16,625","8,442","4,645","3,797","1,574","2,106","8,183","1,451","6,732","26,170","23,415",962,"1,895","54,386","49,003","46,779","3,736","24,495","20,413","46,258","18,692","13,911",726,"3,202","7,425","1,065","2,500","2,086","6,666","3,516","1,254","1,067","50,987","12,169","4,213","7,956","38,818","33,739","5,079","9,666","2,766","1,375","1,391","1,346","36,663","30,474","2,324","47,121","1,724","40,402","20,117","20,285","438,842","352,332","393,402","306,892","389,860","303,350","103,785","86,510","79,333","7,177","17,101","8,442","8,659","26,494","23,046","56,476","50,728","3,962","25,046","20,958","45,440","20,830","15,232",763,"3,414","2,800","2,575","7,061","56,032","13,920","42,112","36,633","5,479","9,719","39,151","32,078","3,192","48,982"
Oct. 2014,"438,697","353,803","392,449","307,555","388,493","303,599","101,495","84,894","77,256","72,950","64,863","8,087","7,638","16,577","8,509","4,537","3,972","1,675","2,183","8,068","1,464","6,604","27,299","24,039",945,"2,060","56,944","51,196","49,011","4,003","25,361","21,365","46,248","20,267","15,245",793,"3,437","8,291","1,162","2,603","2,225","6,398","3,432","1,358",725,"54,994","13,213","4,553","8,660","41,781","36,249","5,532","10,507","3,259","1,233","2,026","1,462","39,004","31,992","2,889","50,204","1,866","43,070","21,536","21,534","440,164","353,409","395,652","308,897","390,506","303,751","104,429","86,755","79,563","7,192","17,094","8,484","8,610","26,463","22,873","56,776","50,941","4,015","24,962","20,763","44,512","21,121","15,447",774,"3,410","2,842","2,615","7,157","56,249","13,917","42,332","36,838","5,494","9,904","39,513","32,578","3,031","49,658"
